Date Scan;Outil;Cible;ID Vulnérabilité (CVE);Titre / Package;Sévérité;Description
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-6253;libcurl4t64;MEDIUM;curl might erroneously pass on credentials for a first proxy to a second proxy.  This can happen whe...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-3784;curl;MEDIUM;curl would wrongly reuse an existing HTTP proxy connection doing CONNECT to a server, even if the ne...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-3784;libcurl4t64;MEDIUM;curl would wrongly reuse an existing HTTP proxy connection doing CONNECT to a server, even if the ne...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-3783;curl;MEDIUM;When an OAuth2 bearer token is used for an HTTP(S) transfer, and that transfer performs a redirect t...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-3783;libcurl4t64;MEDIUM;When an OAuth2 bearer token is used for an HTTP(S) transfer, and that transfer performs a redirect t...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-6429;curl;MEDIUM;When asked to both use a `.netrc` file for credentials and to follow HTTP redirects, libcurl could l...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-6429;libcurl4t64;MEDIUM;When asked to both use a `.netrc` file for credentials and to follow HTTP redirects, libcurl could l...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2025-10911;libxslt1.1;MEDIUM;A use-after-free vulnerability was found in libxslt while parsing xsl nodes that may lead to the der...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-6238;libc-bin;MEDIUM;The deprecated functions ns_printrrf, ns_printrr and fp_nquery in the GNU C Library version 2.2 and ...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-6238;libc6;MEDIUM;The deprecated functions ns_printrrf, ns_printrr and fp_nquery in the GNU C Library version 2.2 and ...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-42250;libbz2-1.0;MEDIUM;bzip2 contains an off‑by‑one error in the bzip2recover utility. When processing a specially crafted ...
